CAP

Fecha;Open;High;Low;Close;Volume
28-03-2007 00:00:00;8550;8550;8310;8490;25285
29-03-2007 00:00:00;8490;8600;8500;8580;13437
30-03-2007 00:00:00;8580;8650;8580;8627,3;42353
02-04-2007 00:00:00;8627,3;8820;8680;8795,7;55585
03-04-2007 00:00:00;8795,7;8930;8850;8883;99719
04-04-2007 00:00:00;8883;9150;8950;9150;143255
05-04-2007 00:00:00;9150;9350;9150;9273,2;52073
09-04-2007 00:00:00;9273,2;9350,1;9300;9323,8;53022
10-04-2007 00:00:00;9323,8;9470;9340;9441;61377
11-04-2007 00:00:00;9441;9500;9349,9;9397;134119
12-04-2007 00:00:00;9397;9400;9300;9400;44034
13-04-2007 00:00:00;9400;9480;9390;9450;84025
16-04-2007 00:00:00;9450;9800;9500;9799,5;155745
17-04-2007 00:00:00;9799,5;9920;9800;9840;176699
18-04-2007 00:00:00;9840;9950;9840;9950;540186
19-04-2007 00:00:00;9950;10000;9799;10000;257823
20-04-2007 00:00:00;10000;10000;9900;9950;65932
23-04-2007 00:00:00;9950;9950;9780;9780;46785
24-04-2007 00:00:00;9780;9800;9699;9744,4;193149
25-04-2007 00:00:00;9744,4;9801;9740;9740,7;54127
26-04-2007 00:00:00;9740,7;9745;9700;9725;51817
27-04-2007 00:00:00;9725;9950;9730;9808,7;203100
30-04-2007 00:00:00;9808,7;9900;9700;9700;87236
02-05-2007 00:00:00;9700;9700,1;9650;9699,2;26114
03-05-2007 00:00:00;9699,2;9830;9690;9820;52230
04-05-2007 00:00:00;9820;9900;9780;9780,1;49823
07-05-2007 00:00:00;9780,1;9820;9755;9757;52706
08-05-2007 00:00:00;9757;9700;9510;9600;90340
09-05-2007 00:00:00;9600;9800;9600;9800;80438
10-05-2007 00:00:00;9800;9790;9650;9775;47980
11-05-2007 00:00:00;9775;9775;9700;9700;96424
14-05-2007 00:00:00;9700;9699,9;9499,9;9502,2;84420
15-05-2007 00:00:00;9502,2;9500;9200;9250;106340
16-05-2007 00:00:00;9250;9300;9210;9300;117937
17-05-2007 00:00:00;9300;9510;9295;9460,8;34168
18-05-2007 00:00:00;9460,8;9460;9400;9460;152964
22-05-2007 00:00:00;9460;9400;9000;9054;135492
23-05-2007 00:00:00;9060;9450;9029;9400;128174
24-05-2007 00:00:00;9400;9400;9220,1;9220,1;40890
25-05-2007 00:00:00;9220,1;9299;9200;9280,1;102251
28-05-2007 00:00:00;9280,1;9500,1;9355;9355;131483
29-05-2007 00:00:00;9355;9500;9200;9300;71468
30-05-2007 00:00:00;9300;9475;9100;9379,5;118529
31-05-2007 00:00:00;9379,5;9500;9251,1;9299,7;317089
01-06-2007 00:00:00;9299,7;9430;9350;9420,7;371156
04-06-2007 00:00:00;9420,7;9600;9420;9546,9;397250
05-06-2007 00:00:00;9545;9700;9545;9652,2;158712
06-06-2007 00:00:00;9652,2;9805;9500;9728,9;289794
07-06-2007 00:00:00;9728,9;9800;9525;9547,4;236777
08-06-2007 00:00:00;9547,4;9820;9525;9820;183767
11-06-2007 00:00:00;9820;9890;9680;9883,6;187724
12-06-2007 00:00:00;9883,6;9980;9750;9900;181716
13-06-2007 00:00:00;9900;10000;9910;9955;285044
14-06-2007 00:00:00;9955;10050;9955;10016;144448
15-06-2007 00:00:00;10016;10150;10030;10150;83605
18-06-2007 00:00:00;10150;10313;10100;10250;92045
19-06-2007 00:00:00;10250;11000;10248;10900;285012
20-06-2007 00:00:00;10900;11800;10900;11036;390989
21-06-2007 00:00:00;11100;11710;11100;11695;264675
22-06-2007 00:00:00;11695;12400;11741;12279;257216
25-06-2007 00:00:00;12279;13101;12399;12598;579257
26-06-2007 00:00:00;12598;12750;11750;11802;374853
27-06-2007 00:00:00;11802;12100;11101;11996;572572
28-06-2007 00:00:00;11996;12300;11899;12297;313556
29-06-2007 00:00:00;12300;12300;12000;12149;175223
03-07-2007 00:00:00;12149;12140;11900;12007;78893
04-07-2007 00:00:00;12007;12080;11700;11911;981704
05-07-2007 00:00:00;11910;12000;11650;11800;356723
06-07-2007 00:00:00;11800;11800;11699;11720;54208
09-07-2007 00:00:00;11720;11799;11600;11790;37363
10-07-2007 00:00:00;11790;11800;11700;11799;41405
11-07-2007 00:00:00;11799;11798;11760;11760;80312
12-07-2007 00:00:00;11760;11770;11725;11725;130778
13-07-2007 00:00:00;11725;12101;11700;12100;207034
17-07-2007 00:00:00;12100;12400;12100;12101;251846
18-07-2007 00:00:00;12101;12100;11900;11960;42902
19-07-2007 00:00:00;11960;12000;11890;11900;29073
20-07-2007 00:00:00;11900;12700;11800;12594;206400
23-07-2007 00:00:00;12594;13300;12630;13130;725021
24-07-2007 00:00:00;13130;14100;13115;13781;875950
25-07-2007 00:00:00;13781;14600;13250;13438;1351356
26-07-2007 00:00:00;13399;13399;12500;12699;266638
27-07-2007 00:00:00;12699;12900;12650;12800;108907
30-07-2007 00:00:00;12800;13001;12500;12655;150700
31-07-2007 00:00:00;12655;12800;12600;12600;94021
01-08-2007 00:00:00;12600;12700;12400;12606;68902
02-08-2007 00:00:00;12606;12950;12500;12935;70896
03-08-2007 00:00:00;12935;13000;12499;12779;234904
06-08-2007 00:00:00;12779;12780;12400;12502;146713
07-08-2007 00:00:00;12502;12700;12455;12469;120349
08-08-2007 00:00:00;12469;12600;12475;12559;97498
09-08-2007 00:00:00;12559;12680;12500;12648;371436
10-08-2007 00:00:00;12648;12990;12499;12630;137710
13-08-2007 00:00:00;12650,5;12951;12650,5;12850;214932
14-08-2007 00:00:00;12850;13125;12680;12776;194013
16-08-2007 00:00:00;12537,5;12537,5;11399;11676;875486
17-08-2007 00:00:00;12000;12500;11600;11730;321989
20-08-2007 00:00:00;11730;12000;11710;11872;196742
21-08-2007 00:00:00;11872;12350;11800;12300;438480
22-08-2007 00:00:00;12301;12850;12500;12752;257386
23-08-2007 00:00:00;12752;12850;12380;12421;205707
24-08-2007 00:00:00;12421;12580;12400;12551;157631
27-08-2007 00:00:00;12551;12501;12120;12139;75467
28-08-2007 00:00:00;12139;12120;11750;11897;120162
29-08-2007 00:00:00;11897;12001;11889;11890;197566
30-08-2007 00:00:00;11890;12050;11891;11951;297513
31-08-2007 00:00:00;11951;12300;12050;12223;493514
03-09-2007 00:00:00;12223;12452;12275;12450;102904
04-09-2007 00:00:00;12450;12450;12310;12350;68095
05-09-2007 00:00:00;12350;12300;12000;12023;98704
06-09-2007 00:00:00;12023;12100;11900;11960;102341
07-09-2007 00:00:00;11960;11800;11700;11800;127013
10-09-2007 00:00:00;11800;11800;11600;11800;122926
11-09-2007 00:00:00;11800;11940;11700;11700;23156
12-09-2007 00:00:00;11700;11700;11405;11500;43828
13-09-2007 00:00:00;11500;11650;11450;11499;72288
14-09-2007 00:00:00;11499;11620;11498;11576;73171
20-09-2007 00:00:00;11576;12002;11800;11998;235187
21-09-2007 00:00:00;11998;12400;12000;12369;352212
24-09-2007 00:00:00;12369;12750;12400;12720;391880
25-09-2007 00:00:00;12720;13360;12645;13005;778978
26-09-2007 00:00:00;13005;13290;13005;13100;438361
27-09-2007 00:00:00;13100;13800;13100;13768;546620
28-09-2007 00:00:00;13768;14490;13799;14469;969310
01-10-2007 00:00:00;14469;14702;14001;14355;631157
02-10-2007 00:00:00;14355;14400;14063;14397;439986
03-10-2007 00:00:00;14350;14450;14120;14199;398302
04-10-2007 00:00:00;14199;14350;14050;14301;168480
05-10-2007 00:00:00;14301;14725;14300;14683;412566
08-10-2007 00:00:00;14683;14700;14570;14606;1061967
09-10-2007 00:00:00;14606;14880;14650;14807;928963
10-10-2007 00:00:00;14807;14750;14549;14554;194228
11-10-2007 00:00:00;14554;14750;14355;14500;150791
12-10-2007 00:00:00;14500;14600;14255;14256;35301
16-10-2007 00:00:00;14256;14450;14002;14386;63860
17-10-2007 00:00:00;14386;14650;14262;14417;76273
18-10-2007 00:00:00;14417;14601;14400;14601;42687
19-10-2007 00:00:00;14601;14700;14350;14350;70620
22-10-2007 00:00:00;14350;14350;14150;14340;73404
23-10-2007 00:00:00;14340;14500;14300;14472;24764
24-10-2007 00:00:00;14472;15100;14500;15021;192721
25-10-2007 00:00:00;15200;16125;15200;16060;433434
26-10-2007 00:00:00;16060;16450;16100;16218;144085
29-10-2007 00:00:00;16279;16280;15910;16135;108223
30-10-2007 00:00:00;16135;16150;15860;15940;164826
31-10-2007 00:00:00;15940;16050;15800;15876;97012
02-11-2007 00:00:00;15876;15800;15461;15461;56199
05-11-2007 00:00:00;15466;15616;14800;15222;139110
06-11-2007 00:00:00;15222;15554;14900;15249;474883
07-11-2007 00:00:00;15249;15200;14750;14776;272179
08-11-2007 00:00:00;14776;15100;14500;14800;358387
09-11-2007 00:00:00;14800;14900;14500;14750;363847
12-11-2007 00:00:00;14750;14800;14530;14601;108865
13-11-2007 00:00:00;14601;14900;14250;14805;162172
14-11-2007 00:00:00;14805;15165;14850;15000;253351
15-11-2007 00:00:00;15000;15505;14823;15100;283222
16-11-2007 00:00:00;15100;15300;15050;15179;49326
19-11-2007 00:00:00;15179;15201;14849;14900;38352
20-11-2007 00:00:00;14900;15200;14800;14800;103764
21-11-2007 00:00:00;14800;14750;14011;14300;169307
22-11-2007 00:00:00;14300;14700;14280;14505;48656
23-11-2007 00:00:00;14505;14800;14450;14450;125891
26-11-2007 00:00:00;14450;14511;13900;13997;50208
27-11-2007 00:00:00;13997;14000;13599;13818;382663
28-11-2007 00:00:00;13818;14449;14000;14449;565395
29-11-2007 00:00:00;14449;14900;14550;14747;151588
30-11-2007 00:00:00;14747;15300;14990;15004;203238
03-12-2007 00:00:00;15004;15200;14700;14994;104993
04-12-2007 00:00:00;14994;14750;14580;14651;51449
05-12-2007 00:00:00;14651;15150;14800;14959;129925
06-12-2007 00:00:00;14959;15201;14900;15200;98061
07-12-2007 00:00:00;15200;15300;15080;15248;81000
10-12-2007 00:00:00;15248;15400;15200;15200;57834
11-12-2007 00:00:00;15200;15200;14750;14750;111400
12-12-2007 00:00:00;14750;15100;14500;14500;188604
13-12-2007 00:00:00;14500;14800;13502;13935;202090
14-12-2007 00:00:00;13935;14090;13650;13802;95541
17-12-2007 00:00:00;13800;13799;13500;13500;30619
18-12-2007 00:00:00;13500;13900;13250;13449;55244
19-12-2007 00:00:00;13449;13449;13100;13100;133171
20-12-2007 00:00:00;13100;13500;13200;13340;152331
21-12-2007 00:00:00;13340;13900;13551;13594;185397
24-12-2007 00:00:00;13594;13730;13450;13511;19406
26-12-2007 00:00:00;13511;13520;13340;13370;47093
27-12-2007 00:00:00;13370;13590;13370;13550;117448
28-12-2007 00:00:00;13550;13650;13550;13648;971938
02-01-2008 00:00:00;13648;13650;13098;13100;1828849
03-01-2008 00:00:00;13100;13100;12900;13000;72586
04-01-2008 00:00:00;13000;13000;12400;12400;195270
07-01-2008 00:00:00;12400;12600;11899;11957;154398
08-01-2008 00:00:00;11957;12050;11800;11806;302898
09-01-2008 00:00:00;11806;11900;11350;11400;301896
10-01-2008 00:00:00;11500;12127;11500;11987;1487012
11-01-2008 00:00:00;11987;12500;11925;12042;327132
14-01-2008 00:00:00;12042;12310;11700;11950;675505
15-01-2008 00:00:00;11950;12000;11583;11583;58301
16-01-2008 00:00:00;11583;11500;11000;11300;380401
17-01-2008 00:00:00;11300;11490;10800;10800;176464
18-01-2008 00:00:00;10800;11262;10490;10500;275553
21-01-2008 00:00:00;10400;10400;9500;9655,4;620291
22-01-2008 00:00:00;9600;10050;9300;9812,7;353667
23-01-2008 00:00:00;9812,7;9911;9300;9699,5;176553
24-01-2008 00:00:00;9699,5;10400;9751;10210;204019
25-01-2008 00:00:00;10210;11150;10200;10338;257431
28-01-2008 00:00:00;10338;10800;10100;10694;122167
29-01-2008 00:00:00;10694;11700;10800;11652;287204
30-01-2008 00:00:00;11652;12500;11188;12310;198944
31-01-2008 00:00:00;12310;12400;11800;12393;205764
01-02-2008 00:00:00;12400;12980;12400;12754;172093
04-02-2008 00:00:00;12754;12900;12500;12750;275836
05-02-2008 00:00:00;12750;12801;12399;12400;264932
06-02-2008 00:00:00;12400;12850;12400;12800;159297
07-02-2008 00:00:00;12800;13090;12500;13000;113187
08-02-2008 00:00:00;13000;13510;13002;13399;149058
11-02-2008 00:00:00;13399;14100;13389;14091;335687
12-02-2008 00:00:00;14091;14450;14200;14375;425514
13-02-2008 00:00:00;14375;14756;14201;14720;257089
14-02-2008 00:00:00;14720;14890;14449;14618;454981
15-02-2008 00:00:00;14618;14750;14150;14740;385135
18-02-2008 00:00:00;14740;15625;15000;15564;818591
19-02-2008 00:00:00;15600;15900;15250;15278;571802
20-02-2008 00:00:00;15278;15479;14797;15452;219837
21-02-2008 00:00:00;15452;15750;15100;15187;129065
22-02-2008 00:00:00;15187;15350;14900;15000;85970
25-02-2008 00:00:00;15000;15200;15000;15150;123356
26-02-2008 00:00:00;15150;15200;14901;14985;612422
27-02-2008 00:00:00;14985;15000;14650;14800;147384
28-02-2008 00:00:00;14800;14900;14600;14766;156776
29-02-2008 00:00:00;14766;14750;14300;14361;135447
03-03-2008 00:00:00;14361;14250;13900;13973;105689
04-03-2008 00:00:00;14000;14000;13600;13841;104479
05-03-2008 00:00:00;13841;14039;13750;13912;109724
06-03-2008 00:00:00;13912;14100;13500;13653;209075
07-03-2008 00:00:00;13653;13980;13600;13868;201972
10-03-2008 00:00:00;13868;14310;13895;14175;171528
11-03-2008 00:00:00;14175;14800;14175;14734;131681
12-03-2008 00:00:00;14800;15100;14699;14904;284456
13-03-2008 00:00:00;14904;14950;14480;14841;223428
14-03-2008 00:00:00;14841;15150;14800;14921;305493
17-03-2008 00:00:00;14921;14890;14310;14853;249856
18-03-2008 00:00:00;14853;15100;14799;14948;161640
19-03-2008 00:00:00;14948;14950;14699;14823;160099
20-03-2008 00:00:00;14823;14883;14699;14701;33084
24-03-2008 00:00:00;14701;14900;14500;14664;296933
25-03-2008 00:00:00;14664;15000;14550;14756;168879
26-03-2008 00:00:00;14756;14801;14505;14700;38734
27-03-2008 00:00:00;14700;14850;14553;14742;100718
28-03-2008 00:00:00;14742;14800;14500;14585;61307
31-03-2008 00:00:00;14585;14799;14400;14719;85835
01-04-2008 00:00:00;14719;14830;14555;14647;67777
02-04-2008 00:00:00;14647;14700;14450;14450;104951
03-04-2008 00:00:00;14450;14600;14306;14474;107542
04-04-2008 00:00:00;14474;14520;14450;14460;84874
07-04-2008 00:00:00;14460;14830;14475;14799;165366
08-04-2008 00:00:00;14799;15100;14621;15090;200726
09-04-2008 00:00:00;15089;15500;14950;15379;291118
10-04-2008 00:00:00;15379;15799;15300;15642;307086
11-04-2008 00:00:00;15642;15700;15460;15532;110517
14-04-2008 00:00:00;15532;15700;15499;15698;87947
15-04-2008 00:00:00;15698;16000;15679;15680;103977
16-04-2008 00:00:00;15680;15851;15750;15750;115252
17-04-2008 00:00:00;15749,5;16260;15700;16204;1898025
18-04-2008 00:00:00;16204;16750;16250;16500;702420
21-04-2008 00:00:00;16500;16690;16100;16575;81154
22-04-2008 00:00:00;16575;16700;16375;16389;112252
23-04-2008 00:00:00;16389;16370;15600;16016;133817
