COPEC

Fecha;Open;High;Low;Close;Volume
28-03-2007 00:00:00;7158,4;7156,1;7045;7071,4;358492
29-03-2007 00:00:00;7100;7170;7100;7155;591897
30-03-2007 00:00:00;7155;7160;7140;7148;325774
02-04-2007 00:00:00;7148;7250;7150;7225,5;351705
03-04-2007 00:00:00;7230;7300;7230;7290;234187
04-04-2007 00:00:00;7290;7575;7300;7539,2;289872
05-04-2007 00:00:00;7539,2;7600;7525;7590;207805
09-04-2007 00:00:00;7590;7700;7580;7682,1;308401
10-04-2007 00:00:00;7682,1;7810;7699,5;7800;291075
11-04-2007 00:00:00;7800;7870;7780;7785;512379
12-04-2007 00:00:00;7785;7820,1;7740;7800,1;406908
13-04-2007 00:00:00;7800,1;7800,1;7735;7771,1;500218
16-04-2007 00:00:00;7771,1;7875;7780;7809,9;273976
17-04-2007 00:00:00;7809,9;7830;7750;7799,4;555936
18-04-2007 00:00:00;7799,4;7815;7777,1;7812,5;747678
19-04-2007 00:00:00;7812,5;7870;7750;7852,7;481694
20-04-2007 00:00:00;7860;7901;7860;7874,7;844011
23-04-2007 00:00:00;7874,7;7880;7710;7715,1;481637
24-04-2007 00:00:00;7715,1;7750;7590;7722,2;1143522
25-04-2007 00:00:00;7722,2;7770;7620;7695;808851
26-04-2007 00:00:00;7695;7700;7634;7670;416661
27-04-2007 00:00:00;7670;7675;7630;7649;326430
30-04-2007 00:00:00;7649;7700;7600;7655,6;232463
02-05-2007 00:00:00;7655,6;7710;7649;7670;283607
03-05-2007 00:00:00;7670;7671;7655;7660;1691916
04-05-2007 00:00:00;7660;7690;7500;7555,3;2317336
07-05-2007 00:00:00;7555,3;7581;7350;7572,3;1405165
08-05-2007 00:00:00;7570;7570;7452;7458,2;545190
09-05-2007 00:00:00;7458,2;7590;7475;7585;901077
10-05-2007 00:00:00;7585;7610;7550;7550;471841
11-05-2007 00:00:00;7550;7600;7520;7550;278791
14-05-2007 00:00:00;7550;7560;7455;7493,2;357878
15-05-2007 00:00:00;7500;7500;7390;7390;698239
16-05-2007 00:00:00;7390;7400,1;7300;7321,1;487377
17-05-2007 00:00:00;7321,1;7330;7280;7301;213212
18-05-2007 00:00:00;7301;7400;7301;7380,6;593366
22-05-2007 00:00:00;7380,6;7380;7000;7094,1;996833
23-05-2007 00:00:00;7105;7500;7000;7299,5;582418
24-05-2007 00:00:00;7299,5;7400,1;7285;7301;843147
25-05-2007 00:00:00;7310;7615;7310;7543,4;1089569
28-05-2007 00:00:00;7543,4;7690;7510;7625;308593
29-05-2007 00:00:00;7625;7710;7570;7599,5;309564
30-05-2007 00:00:00;7599,5;7650;7490;7634;491118
31-05-2007 00:00:00;7634;7700;7620;7665,2;608102
01-06-2007 00:00:00;7665,2;7699,9;7666;7669;699041
04-06-2007 00:00:00;7669;7699,9;7641;7650;223046
05-06-2007 00:00:00;7650;7650;7480;7523,5;625252
06-06-2007 00:00:00;7523,5;7510;7379,9;7413,9;595166
07-06-2007 00:00:00;7400;7480;7250,1;7296,9;588893
08-06-2007 00:00:00;7296,9;7398;7270;7378,9;356374
11-06-2007 00:00:00;7378,9;7495;7300;7446,7;783724
12-06-2007 00:00:00;7446,7;7450,1;7300;7445,5;972317
13-06-2007 00:00:00;7445,5;7470;7329;7375,7;640042
14-06-2007 00:00:00;7375,7;7470;7375;7432,1;673569
15-06-2007 00:00:00;7432,1;7550;7350;7383,1;1495397
18-06-2007 00:00:00;7383,1;7350;7232;7266,6;484147
19-06-2007 00:00:00;7266,6;7320;7150;7290,6;1014398
20-06-2007 00:00:00;7290;7350,1;7200,1;7207,4;1042409
21-06-2007 00:00:00;7207,4;7370;7199;7366,3;832290
22-06-2007 00:00:00;7370;7370;7319,9;7356,6;1091406
25-06-2007 00:00:00;7356,6;7481;7355;7397;424330
26-06-2007 00:00:00;7397;7481;7398;7430,3;599378
27-06-2007 00:00:00;7430,3;7660;7430,3;7650;1668263
28-06-2007 00:00:00;7650;7740,1;7614;7690;862738
29-06-2007 00:00:00;7690;7760;7691;7700;614246
03-07-2007 00:00:00;7700;7760;7610;7715,7;323383
04-07-2007 00:00:00;7729,85;7740;7600;7730,1;531082
05-07-2007 00:00:00;7730,1;7730,1;7690;7700;551568
06-07-2007 00:00:00;7700;7701;7610;7632;217040
09-07-2007 00:00:00;7632;7700;7615;7670,2;373939
10-07-2007 00:00:00;7670,2;7775;7610;7767,3;749584
11-07-2007 00:00:00;7767,3;7800,1;7650;7697,1;408250
12-07-2007 00:00:00;7701;7900;7701;7839,2;1157747
13-07-2007 00:00:00;7840;8050;7840;8047,6;589528
17-07-2007 00:00:00;8047,6;8240;8050;8221,3;775479
18-07-2007 00:00:00;8219;8219;8100;8189,1;231099
19-07-2007 00:00:00;8190;8230,1;8188;8229,6;285924
20-07-2007 00:00:00;8229,6;8231;8050;8183,3;341059
23-07-2007 00:00:00;8183,3;8184;8150;8179,8;169894
24-07-2007 00:00:00;8179,8;8250;8170;8217,8;434889
25-07-2007 00:00:00;8217,8;8290;8170;8200;291706
26-07-2007 00:00:00;8200;8200;7940;7991,4;502422
27-07-2007 00:00:00;7992;8170;7990;8119,9;465774
30-07-2007 00:00:00;8119,9;8430;8199;8385,6;908384
31-07-2007 00:00:00;8386;8440;8290;8292,2;607984
01-08-2007 00:00:00;8292,2;8350;8199,9;8340,4;633293
02-08-2007 00:00:00;8340,4;8380;8290;8373;330707
03-08-2007 00:00:00;8373;8370;8225;8301,5;216402
06-08-2007 00:00:00;8301,2;8301,5;8065;8094,5;416006
07-08-2007 00:00:00;8094,5;8125;8030;8044,2;327232
08-08-2007 00:00:00;8030;8130;7999;8080;588822
09-08-2007 00:00:00;8080;8110;7950;7980;731709
10-08-2007 00:00:00;7980;7910;7770;7848;625396
13-08-2007 00:00:00;7848;8090;7600;7640;542589
14-08-2007 00:00:00;7640;7700;7400;7450;717849
16-08-2007 00:00:00;7429,9;7429,9;7000;7276,2;1171343
17-08-2007 00:00:00;7276,2;7620;7240;7557,3;440270
20-08-2007 00:00:00;7557,3;7700;7557;7594,5;624363
21-08-2007 00:00:00;7594,5;7750;7610;7750;529162
22-08-2007 00:00:00;7750;7900,1;7760;7849,8;559555
23-08-2007 00:00:00;7849,8;7901;7750;7774,2;654427
24-08-2007 00:00:00;7774,2;7950;7800;7889,4;496941
27-08-2007 00:00:00;7889,4;8100;7800;8047,9;704942
28-08-2007 00:00:00;8047,9;8000;7750;7761,4;504698
29-08-2007 00:00:00;7761,4;8000;7720;7767,4;925154
30-08-2007 00:00:00;7767,4;8030;7900;7990;1325882
31-08-2007 00:00:00;8010;8190;8010;8184;948944
03-09-2007 00:00:00;8200;8240;8190;8237,2;293022
04-09-2007 00:00:00;8229;8240;8150;8230,7;344286
05-09-2007 00:00:00;8228;8228;8100;8159,6;321563
06-09-2007 00:00:00;8159,6;8190;8050;8051,4;213101
07-09-2007 00:00:00;8051,4;8000;7851;7900;239432
10-09-2007 00:00:00;7900;7940;7710;7710;510268
11-09-2007 00:00:00;7710;7870;7711;7823,3;597333
12-09-2007 00:00:00;7823,3;7830;7750;7768;328454
13-09-2007 00:00:00;7768;7855;7768;7810,1;427228
14-09-2007 00:00:00;7810,1;7875;7799,5;7848,2;68200
20-09-2007 00:00:00;8002;8100;7991;8025;547834
21-09-2007 00:00:00;8025;8065;8000;8000;111597
24-09-2007 00:00:00;8000;8040;7910;7910,1;238629
25-09-2007 00:00:00;7910,5;7952;7850;7910;263831
26-09-2007 00:00:00;7920;8005;7900;7977,3;271575
27-09-2007 00:00:00;7977,3;8300;7999;8296,6;1224682
28-09-2007 00:00:00;8296,6;8350;8200;8228,4;867667
01-10-2007 00:00:00;8228,4;8340;8228;8325;597107
02-10-2007 00:00:00;8325;8450;8325;8429,5;686231
03-10-2007 00:00:00;8429,5;8465;8330;8400;531783
04-10-2007 00:00:00;8400;8460;8390;8432,8;341325
05-10-2007 00:00:00;8432,8;8630;8460;8570;667932
08-10-2007 00:00:00;8570;8667;8500;8664,9;412945
09-10-2007 00:00:00;8665;8899;8580;8875,5;400740
10-10-2007 00:00:00;8875,5;8875,5;8740;8809,1;613926
11-10-2007 00:00:00;8809,1;8900;8799,9;8850,7;729099
12-10-2007 00:00:00;8850,7;8895;8850;8878,2;482598
16-10-2007 00:00:00;8878,2;8890;8800;8880,1;224628
17-10-2007 00:00:00;8880,1;9000;8885;8996,7;406539
18-10-2007 00:00:00;8996,7;9050;8890,2;9043,1;185120
19-10-2007 00:00:00;9043,1;9050;8900;9007,1;357324
22-10-2007 00:00:00;9007,1;9060;8900;9051;171276
23-10-2007 00:00:00;9051;9170;9050;9115;524392
24-10-2007 00:00:00;9115;9115;9055;9099;396515
25-10-2007 00:00:00;9099;9301;9010;9289,1;608241
26-10-2007 00:00:00;9289,1;9400;9149;9158,5;282613
29-10-2007 00:00:00;9158,5;9201;8900;9000;567529
30-10-2007 00:00:00;9000;9000;8798;8880;557748
31-10-2007 00:00:00;8880;9000,1;8790;8799,2;1048447
02-11-2007 00:00:00;8800;8799;8514;8558,7;260355
05-11-2007 00:00:00;8558,7;8550;8250;8326,1;756120
06-11-2007 00:00:00;8326,1;8480;8240;8300;1762526
07-11-2007 00:00:00;8300;8301;8200;8200;1355964
08-11-2007 00:00:00;8200;8383;8100;8167,5;538635
09-11-2007 00:00:00;8175;8250;8174,9;8209,8;696046
12-11-2007 00:00:00;8209,8;8291,9;8099;8185,2;435146
13-11-2007 00:00:00;8185,2;8310;8151;8224,4;509552
14-11-2007 00:00:00;8224,4;8311;8220;8310;543420
15-11-2007 00:00:00;8310;8320;8200;8248;153580
16-11-2007 00:00:00;8248;8310;8200;8200;111580
19-11-2007 00:00:00;8200;8250;8050;8078,7;269141
20-11-2007 00:00:00;8078,7;8130;8000;8050;364114
21-11-2007 00:00:00;8050;8000,1;7700;7994,5;721277
22-11-2007 00:00:00;7994,5;8150;8000;8053,8;493658
23-11-2007 00:00:00;8053,8;8230;8100;8165,2;273618
26-11-2007 00:00:00;8165,2;8201;8171;8175;636659
27-11-2007 00:00:00;8175;8250;8101;8200;496809
28-11-2007 00:00:00;8200;8551;8247,9;8548,2;171282
29-11-2007 00:00:00;8548,2;8750;8500;8740,9;524773
30-11-2007 00:00:00;8740,9;8970,1;8750;8955,1;880179
03-12-2007 00:00:00;8955,1;8999;8839;8839,1;338883
04-12-2007 00:00:00;8839,1;8840;8650;8650;213722
05-12-2007 00:00:00;8650;8770;8670;8732,3;396078
06-12-2007 00:00:00;8790;8890;8740;8886,4;6065509
07-12-2007 00:00:00;8886,4;8900;8848;8892,7;312885
10-12-2007 00:00:00;8892,7;8900,1;8840;8868,4;166845
11-12-2007 00:00:00;8868,4;8870;8680;8700;385535
12-12-2007 00:00:00;8700;8850;8450;8500;386958
13-12-2007 00:00:00;8500;8500;8118;8212,5;479707
14-12-2007 00:00:00;8212,5;8280;8075;8257,5;694629
17-12-2007 00:00:00;8257,5;8257,5;7999,9;8000;484748
18-12-2007 00:00:00;8000;8150;7950;7991;1061008
19-12-2007 00:00:00;7991;8095;8000;8020;641851
20-12-2007 00:00:00;8020;8500;8050;8399,4;616451
21-12-2007 00:00:00;8399,4;8700;8599;8700;249520
24-12-2007 00:00:00;8700;8700;8550;8600;215665
26-12-2007 00:00:00;8600;8950;8501;8867,4;578211
27-12-2007 00:00:00;8867,4;8999;8860;8945,1;771980
28-12-2007 00:00:00;8945,1;9001;8900;8900;3002104
02-01-2008 00:00:00;8900;8971;8751;8798,6;1760778
03-01-2008 00:00:00;8798,6;8930;8700;8885;1498523
04-01-2008 00:00:00;8885;8800;8700;8768,4;354171
07-01-2008 00:00:00;8768,4;8878,9;8500;8579,9;496328
08-01-2008 00:00:00;8640;8715;8500;8531,3;712316
09-01-2008 00:00:00;8531,3;8600;8150;8271,3;734227
10-01-2008 00:00:00;8300;8550;8001;8315;1902257
11-01-2008 00:00:00;8315;8400;8170;8299,9;685030
14-01-2008 00:00:00;8299,9;8330;8200;8220;477717
15-01-2008 00:00:00;8220;8220;7990;8060,9;732046
16-01-2008 00:00:00;8060,9;8000;7880;7926,7;982071
17-01-2008 00:00:00;7926,7;7935;7630;7717,5;391434
18-01-2008 00:00:00;7717,5;7800;7510;7570;555076
21-01-2008 00:00:00;7500;7500;7000;7379,5;507482
22-01-2008 00:00:00;7379,5;7800;7100;7750;602540
23-01-2008 00:00:00;7750;7749;7300;7652,6;1101934
24-01-2008 00:00:00;7702;8100;7702;8054,8;1187082
25-01-2008 00:00:00;8054,8;8250;7990;7991,3;693775
28-01-2008 00:00:00;7991,3;8000;7850;7975;252210
29-01-2008 00:00:00;8008;8225;7975;8150;609437
30-01-2008 00:00:00;8150;8250;7999;8240,3;421701
31-01-2008 00:00:00;8240,3;8380;8019;8375,6;783066
01-02-2008 00:00:00;8375,6;8500;8300;8424,1;256415
04-02-2008 00:00:00;8424,1;8500;8330;8352,4;305333
05-02-2008 00:00:00;8352,4;8350;7950;8097,3;215877
06-02-2008 00:00:00;8097,3;8150;8050;8140,3;333280
07-02-2008 00:00:00;8140,3;8180;7980;8141;331467
08-02-2008 00:00:00;8141;8140;8010;8100;180530
11-02-2008 00:00:00;8100;8250;8019;8244,4;265332
12-02-2008 00:00:00;8250;8450;8250;8352,1;731569
13-02-2008 00:00:00;8350;8510;8350;8510;755408
14-02-2008 00:00:00;8510;8550;8450;8462,2;329898
15-02-2008 00:00:00;8462,2;8450;8249;8250;177306
18-02-2008 00:00:00;8250;8400;8250;8362;174633
19-02-2008 00:00:00;8362;8490;8370;8400,1;321820
20-02-2008 00:00:00;8400,1;8580;8316,1;8555,5;292272
21-02-2008 00:00:00;8555,5;8650;8450;8553,1;264528
22-02-2008 00:00:00;8553,1;8600;8500;8500;83327
25-02-2008 00:00:00;8500;8585,2;8379,9;8450,5;272091
26-02-2008 00:00:00;8450,5;8450;8299,8;8299,8;354264
27-02-2008 00:00:00;8299,8;8300,1;8200;8292,2;418666
28-02-2008 00:00:00;8292,2;8300;8050;8050,2;369116
29-02-2008 00:00:00;8050,2;8100;7760;7772,4;424647
03-03-2008 00:00:00;7772,4;7878;7600;7652,8;465331
04-03-2008 00:00:00;7652,8;7802,3;7500;7561,7;735866
05-03-2008 00:00:00;7561,7;7640;7510;7598,5;342752
06-03-2008 00:00:00;7598,5;7601;7450;7488,6;704510
07-03-2008 00:00:00;7488,6;7550;7410;7483,7;206755
10-03-2008 00:00:00;7483,7;7525;7400;7476,3;161924
11-03-2008 00:00:00;7476,3;7750;7485;7701,9;598277
12-03-2008 00:00:00;7701,9;8000,1;7750;8000;638546
13-03-2008 00:00:00;8000;8080;7750;7955,7;674615
14-03-2008 00:00:00;7955,7;8100;7849,9;7888;525739
17-03-2008 00:00:00;7888;8000;7600;7914,2;492982
18-03-2008 00:00:00;7914,2;8050;7755;7817,3;745058
19-03-2008 00:00:00;7817,3;8000;7800;7876,3;409082
20-03-2008 00:00:00;7876,3;8000;7870;7960,7;253569
24-03-2008 00:00:00;7960,7;8100;7900;8048,4;740257
25-03-2008 00:00:00;8048,4;8095;7949,9;8079,7;206578
26-03-2008 00:00:00;8079,7;8080;7900;7982,6;459297
27-03-2008 00:00:00;7982,6;8151;7950;8145,6;336570
28-03-2008 00:00:00;8150;8200,1;8000;8068,7;1135457
31-03-2008 00:00:00;8068,7;8150;8019;8149,9;1268793
01-04-2008 00:00:00;8149,9;8150;8015;8055;536361
02-04-2008 00:00:00;8055;8079,9;7899;7901,8;884985
03-04-2008 00:00:00;7901,8;7902;7700;7721,5;743116
04-04-2008 00:00:00;7721,5;7825;7730;7819,7;917725
07-04-2008 00:00:00;7819,7;7897,9;7779;7793,2;205343
08-04-2008 00:00:00;7795;7795;7711;7720;398292
09-04-2008 00:00:00;7720;7797,2;7695;7753,6;474677
10-04-2008 00:00:00;7753,6;7800;7700;7713,4;99021
11-04-2008 00:00:00;7713,4;7750;7720;7737,4;199555
14-04-2008 00:00:00;7737,4;7725;7610;7669,7;329314
15-04-2008 00:00:00;7700;7849;7669;7739,9;565096
16-04-2008 00:00:00;7739,9;7850;7700;7730;451646
17-04-2008 00:00:00;7730;7800;7670;7728,6;572338
18-04-2008 00:00:00;7728,6;7795;7679,9;7720,1;422637
21-04-2008 00:00:00;7720,1;7975;7725;7974;406099
22-04-2008 00:00:00;7974;8026;7750;7783;521203
23-04-2008 00:00:00;7783;7900,1;7650;7851,3;557745
24-04-2008 00:00:00;7851,3;7901;7650;7830,4;319364
25-04-2008 00:00:00;7830,4;7890;7720;7749,9;130190
28-04-2008 00:00:00;7749,9;7749,9;7650;7650,6;98674
29-04-2008 00:00:00;7655;7655;7509;7551,6;238400
30-04-2008 00:00:00;7551,6;7715;7551,6;7651,6;2854441
02-05-2008 00:00:00;7651,6;7750;7645;7651,9;980479
05-05-2008 00:00:00;7651,9;7700;7525;7533,6;530433
06-05-2008 00:00:00;7533,6;7608,9;7509;7524;425213
07-05-2008 00:00:00;7524;7540;7400;7433,7;450803
08-05-2008 00:00:00;7433,7;7402;7351;7371,3;190464
09-05-2008 00:00:00;7371,3;7350;7329;7334;101438
12-05-2008 00:00:00;7334;7370;7320;7331;173682
13-05-2008 00:00:00;7331;7351;7310;7320,4;193092
14-05-2008 00:00:00;7320,4;7400;7320;7370;595344
15-05-2008 00:00:00;7370;7450;7370;7426;542320
16-05-2008 00:00:00;7426;7534,6;7445;7458;369250
19-05-2008 00:00:00;7458;7600;7440;7524,7;554858
20-05-2008 00:00:00;7524,7;7650;7499,9;7600,1;469301
22-05-2008 00:00:00;7600,1;7606;7500;7581,3;212960
23-05-2008 00:00:00;7581,3;7610;7580;7580,5;188148
26-05-2008 00:00:00;7580,5;7600;7549,9;7550;162538
27-05-2008 00:00:00;7550;7605;7400;7462,3;742334
28-05-2008 00:00:00;7462,3;7575;7400;7462,1;984630
29-05-2008 00:00:00;7462,1;7550;7400;7498;554085
30-05-2008 00:00:00;7498;7497,9;7275;7278,5;1701190
02-06-2008 00:00:00;7278,5;7374,9;7276;7281,2;617042
03-06-2008 00:00:00;7281,2;7320;7200;7239,1;1566333
04-06-2008 00:00:00;7239,1;7345;7199,9;7263,2;1284698
05-06-2008 00:00:00;7263,2;7350;7270;7330;632028
06-06-2008 00:00:00;7330;7330;7200;7208,2;854966
09-06-2008 00:00:00;7208,2;7272;7000;7069;628252
10-06-2008 00:00:00;7069;7150;6990;7147;398223
11-06-2008 00:00:00;7147;7099,8;7000;7046,1;202812
12-06-2008 00:00:00;7046,1;7300;7140;7157,3;405772
13-06-2008 00:00:00;7200;7373;7200;7260,3;1148582
16-06-2008 00:00:00;7260,3;7360;7020;7035,4;531252
17-06-2008 00:00:00;7035,4;7100;7010;7010,3;360579
18-06-2008 00:00:00;7010,3;7020;6878;6878,8;709050
19-06-2008 00:00:00;6879;7070;6800;7050;564954
20-06-2008 00:00:00;7050;7100;6900;6933,5;446707
23-06-2008 00:00:00;6933,5;7000;6940;6978,8;268492
24-06-2008 00:00:00;6980;7050;6800;6847,9;271766
25-06-2008 00:00:00;6847,9;7000;6850;6949,2;225909
26-06-2008 00:00:00;6949,2;6950;6800;6834;535079
27-06-2008 00:00:00;6834;6850;6749,9;6819,3;268052
30-06-2008 00:00:00;6819,3;6800;6600;6713,1;222413
01-07-2008 00:00:00;6713,1;6700;6550;6613,1;603893
02-07-2008 00:00:00;6613,1;6665;6450;6460,7;445377
03-07-2008 00:00:00;6460,7;6500;6350;6350;791965
04-07-2008 00:00:00;6350;6510;6300;6389,5;153603
07-07-2008 00:00:00;6400;6550;6352;6458,4;352539
08-07-2008 00:00:00;6458,4;6750;6500;6563,9;372781
09-07-2008 00:00:00;6563,9;6600;6504,3;6527,7;380409
10-07-2008 00:00:00;6527,7;6520;6450;6494,7;135630
11-07-2008 00:00:00;6494,7;6520;6390;6390;158815
14-07-2008 00:00:00;6390;6600;6350;6469,9;265214
15-07-2008 00:00:00;6469,9;6448;6380;6380;104806
17-07-2008 00:00:00;6450;6600;6380;6389;114457
18-07-2008 00:00:00;6389;6500;6294,9;6349,9;1370615
21-07-2008 00:00:00;6349,9;6475;6314,9;6315;104579
